time_sec,chord_symbol,confidence
95.201814,A#m,0.135759
95.213424,F#,0.135048
95.225034,B,0.129707
95.248254,Bm,0.170647
95.259864,Em,0.172544
95.271474,G,0.174106
95.306304,Em,0.192028
95.364354,G,0.205200
95.422404,Gm,0.154461
95.445624,Dm,0.124671
95.457234,F#m,0.116582
95.468844,C#,0.102688
95.480454,Em,0.112038
95.492063,Fm,0.106791
95.503673,F,0.128349
95.515283,E,0.151701
95.817143,B,0.121846
95.828753,D#m,0.123685
95.851973,Dm,0.133246
96.142222,C#,0.099588
96.153832,Fm,0.100453
96.177052,F,0.100101
96.200272,A,0.100684
96.211882,F,0.101952
96.223492,A,0.104246
96.595011,Dm,0.127605
96.606621,Am,0.131245
96.641451,Dm,0.144500
96.653061,Am,0.144575
96.664671,A,0.151193
96.676281,Am,0.155549
96.687891,A,0.156876
96.711111,Am,0.124370
96.722721,A#,0.117356
96.745941,Em,0.117800
96.815601,E,0.155817
96.885261,Em,0.178168
97.140680,E,0.167511
97.163900,Em,0.160112
97.198730,E,0.160498
97.221950,Em,0.142907
97.256780,Bm,0.127218
97.291610,B,0.127923
97.326440,Em,0.119292
97.349660,Bm,0.121053
97.372880,B,0.127520
97.396100,Bm,0.143825
97.419320,B,0.157055
97.430930,Bm,0.161787
97.488980,B,0.184204
97.500590,Bm,0.186331
97.523810,E,0.186723
97.535420,Em,0.191759
97.686349,Bm,0.177878
97.848889,G,0.129854
97.918549,Em,0.142167
97.953379,G,0.143108
98.034649,Gm,0.109243
98.046259,D,0.100668
98.115918,F#m,0.109216
98.197188,D#m,0.094941
98.208798,Am,0.094482
98.266848,C,0.095491
98.290068,E,0.098452
98.835737,Em,0.133209
98.847347,E,0.129621
99.172426,C#m,0.108860
99.230476,A,0.109282
99.346576,Am,0.127742
99.358186,E,0.131303
99.648435,A#,0.096297
99.660045,E,0.096374
99.729705,A#,0.095336
99.741315,Dm,0.097083
99.752925,A#,0.097851
99.764535,Dm,0.098635
99.822585,D,0.105712
100.321814,Dm,0.182184
100.588844,C#m,0.103777
100.681723,Fm,0.095895
100.739773,C#,0.107277
100.786213,Fm,0.102141
101.018413,Cm,0.115419
101.064853,C,0.129792
101.598912,Cm,0.192999
101.656961,C,0.210666
101.819501,Cm,0.131706
101.854331,G,0.108510
101.877551,D,0.121880
102.353560,Gm,0.201770
102.365170,D,0.204730
102.736689,Dm,0.121210
102.759909,Gm,0.105126
102.887619,C#m,0.096722
103.177868,Em,0.137516
103.282358,C,0.151089
103.363628,Am,0.148236
103.479728,A,0.185803
103.526168,Am,0.162826
103.537778,Em,0.177263
103.711927,E,0.163787
103.735147,Am,0.174378
103.839637,A,0.196768
104.083447,Dm,0.102633
104.106667,Gm,0.106305
104.129887,D,0.117822
104.153107,Gm,0.131385
104.164717,D,0.137771
104.199546,Dm,0.150688
104.211156,A#,0.156651
104.245986,Gm,0.162602
104.257596,G,0.167030
104.338866,Bm,0.175512
104.396916,D,0.150048
104.408526,G,0.143712
104.420136,Bm,0.144387
104.431746,G,0.142823
104.443356,D,0.141743
104.454966,Dm,0.145355
104.513016,D,0.155945
104.559456,Dm,0.167876
104.605896,D,0.177766
104.826485,Dm,0.153678
105.221224,C#m,0.099126
105.337324,E,0.110282
105.360544,C#m,0.112620
105.395374,E,0.115721
105.406984,C#m,0.112053
105.418594,A,0.111564
105.732063,Am,0.156277
105.941043,F,0.133832
105.964263,Am,0.131332
106.115193,D#,0.123783
106.150023,D,0.129004
106.242902,Bm,0.133260
106.324172,Em,0.119211
106.359002,E,0.135427
106.370612,Em,0.143394
106.393832,B,0.147853
106.440272,Em,0.159674
106.626032,Bm,0.193981
106.684082,G,0.206587
106.707302,E,0.184050
106.730522,Bm,0.165306
107.055601,G#m,0.138243
107.090431,G,0.145479
107.102041,Bm,0.133607
107.113651,E,0.128531
107.311020,G,0.107679
107.403900,E,0.096622
107.415510,G#m,0.096338
107.450340,C#m,0.099742
107.578050,C,0.113458
107.810249,Fm,0.147135
107.833469,Am,0.146752
107.914739,F,0.131669
107.926349,Fm,0.126983
107.961179,C,0.120958
107.972789,Am,0.118660
108.030839,Fm,0.111521
108.077279,C,0.109151
108.158549,Cm,0.107925
108.193379,C,0.101709
108.216599,Fm,0.103490
108.263039,F,0.115734
108.286259,Am,0.118639
108.355918,F,0.132743
108.379138,Am,0.135132
108.402358,C,0.142124
108.506848,Fm,0.115862
108.657778,C#,0.103458
108.692608,E,0.096266
108.704218,Em,0.098721
108.866757,B,0.123875
108.982857,Em,0.139922
109.017687,B,0.149613
109.087347,Bm,0.161366
109.284717,G#m,0.108390
109.342766,D,0.104177
109.400816,Dm,0.111130
109.435646,E,0.107690
109.458866,Dm,0.107785
109.482086,F,0.108038
109.505306,E,0.106335
109.807166,C#m,0.113055
109.818776,C,0.113807
109.853605,Fm,0.114932
110.027755,C,0.127142
110.306395,F,0.126602
110.318005,C,0.125269
110.364444,Cm,0.122868
110.422494,C,0.130450
110.619864,Cm,0.126082
110.631474,C,0.124598
110.677914,Am,0.119139
110.770794,C,0.135086
111.002993,Cm,0.157531
111.026213,C,0.143217
111.061043,G,0.130496
111.084263,D,0.135971
111.142313,G,0.129773
111.165533,C,0.118733
111.177143,Cm,0.121253
111.223583,C,0.155680
111.374512,Cm,0.150631
111.397732,G,0.118179
111.409342,D,0.140092
111.583492,Am,0.101911
111.595102,E,0.110534
